slice_id,patient_id,baseline_method,clean_x,clean_y,N_5_x,N_5_y,S_5_x,S_5_y,E_5_x,E_5_y,W_5_x,W_5_y,N_10_x,N_10_y,S_10_x,S_10_y,E_10_x,E_10_y,W_10_x,W_10_y
img0026_slice_086,img0026,CoM,259,219,259.0,214.0,259.0,224.0,264.0,219.0,254.0,219.0,259.0,209.0,259.0,229.0,269.0,219.0,249.0,219.0
img0026_slice_087,img0026,CoM,258,220,258.0,215.0,258.0,225.0,263.0,220.0,253.0,220.0,258.0,210.0,258.0,230.0,268.0,220.0,248.0,220.0
img0026_slice_088,img0026,CoM,260,219,260.0,214.0,260.0,224.0,265.0,219.0,255.0,219.0,260.0,209.0,260.0,229.0,270.0,219.0,250.0,219.0
img0026_slice_089,img0026,CoM,258,233,258.0,228.0,,,263.0,233.0,253.0,233.0,258.0,223.0,258.0,243.0,,,248.0,233.0
img0026_slice_090,img0026,CoM,258,233,258.0,228.0,,,263.0,233.0,253.0,233.0,258.0,223.0,,,,,248.0,233.0
img0026_slice_091,img0026,CoM,258,233,258.0,228.0,,,263.0,233.0,253.0,233.0,258.0,223.0,258.0,243.0,268.0,233.0,248.0,233.0
img0026_slice_092,img0026,CoM,256,232,256.0,227.0,256.0,237.0,261.0,232.0,251.0,232.0,256.0,222.0,,,266.0,232.0,246.0,232.0
img0026_slice_093,img0026,CoM,257,233,257.0,228.0,257.0,238.0,262.0,233.0,252.0,233.0,257.0,223.0,,,267.0,233.0,247.0,233.0
img0026_slice_094,img0026,CoM,256,233,256.0,228.0,,,261.0,233.0,251.0,233.0,256.0,223.0,256.0,243.0,266.0,233.0,246.0,233.0
img0026_slice_095,img0026,CoM,256,234,256.0,229.0,,,261.0,234.0,251.0,234.0,256.0,224.0,256.0,244.0,,,246.0,234.0
img0026_slice_096,img0026,CoM,255,234,255.0,229.0,,,260.0,234.0,250.0,234.0,255.0,224.0,255.0,244.0,265.0,234.0,245.0,234.0
img0026_slice_097,img0026,CoM,255,234,255.0,229.0,,,260.0,234.0,250.0,234.0,255.0,224.0,255.0,244.0,265.0,234.0,245.0,234.0
